id,date,primary_type,location_description,arrest,location_grouped,year,month,dow,hour
13948166,2025-08-27 00:00:00,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS,0,OTHER,2025,8,2,0
13950808,2025-08-27 00:00:00,BATTERY,SCHOOL - PRIVATE GROUNDS,0,OTHER,2025,8,2,0
13948325,2025-08-27 00:00:00,BATTERY,GROCERY FOOD STORE,1,OTHER,2025,8,2,0
13947866,2025-08-27 00:00:00,THEFT,PARK PROPERTY,0,PARK PROPERTY,2025,8,2,0
13950885,2025-08-27 00:00:00,SEX OFFENSE,APARTMENT,0,APARTMENT,2025,8,2,0
13947706,2025-08-27 00:00:00,CRIMINAL DAMAGE,STREET,0,STREET,2025,8,2,0
13952420,2025-08-27 00:00:00,CRIMINAL DAMAGE,RESIDENCE - GARAGE,0,OTHER,2025,8,2,0
13950248,2025-08-27 00:00:00,BURGLARY,RESIDENCE,0,RESIDENCE,2025,8,2,0
13947643,2025-08-26 23:45:00,ASSAULT,STREET,0,STREET,2025,8,1,23
13947548,2025-08-26 23:43:00,BURGLARY,APARTMENT,0,APARTMENT,2025,8,1,23
13947526,2025-08-26 23:36:00,ASSAULT,RESIDENCE,0,RESIDENCE,2025,8,1,23
13947604,2025-08-26 23:35:00,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),0,PARKING LOT / GARAGE (NON RESIDENTIAL),2025,8,1,23
13947605,2025-08-26 23:34:00,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),0,PARKING LOT / GARAGE (NON RESIDENTIAL),2025,8,1,23
13947518,2025-08-26 23:24:00,NARCOTICS,STREET,1,STREET,2025,8,1,23
13947582,2025-08-26 23:15:00,BURGLARY,PARKING LOT / GARAGE (NON RESIDENTIAL),0,PARKING LOT / GARAGE (NON RESIDENTIAL),2025,8,1,23
13947633,2025-08-26 23:15:00,BATTERY,RESIDENCE,0,RESIDENCE,2025,8,1,23
13947537,2025-08-26 23:10:00,OTHER OFFENSE,RESIDENCE,0,RESIDENCE,2025,8,1,23
13947601,2025-08-26 23:10:00,CRIMINAL TRESPASS,SIDEWALK,1,SIDEWALK,2025,8,1,23
13947614,2025-08-26 23:04:00,ASSAULT,CONVENIENCE STORE,0,OTHER,2025,8,1,23
13948558,2025-08-26 23:00:00,OTHER OFFENSE,STREET,0,STREET,2025,8,1,23
13947641,2025-08-26 23:00:00,BURGLARY,PARKING LOT / GARAGE (NON RESIDENTIAL),0,PARKING LOT / GARAGE (NON RESIDENTIAL),2025,8,1,23
13947565,2025-08-26 22:59:00,ASSAULT,GAS STATION,0,GAS STATION,2025,8,1,22
13947592,2025-08-26 22:50:00,CRIMINAL DAMAGE,RESIDENCE,0,RESIDENCE,2025,8,1,22
13947552,2025-08-26 22:40:00,BATTERY,STREET,1,STREET,2025,8,1,22
13948834,2025-08-26 22:35:00,CRIMINAL TRESPASS,FACTORY / MANUFACTURING BUILDING,0,OTHER,2025,8,1,22
13947864,2025-08-26 22:30:00,THEFT,STREET,0,STREET,2025,8,1,22
13948013,2025-08-26 22:30:00,BURGLARY,COMMERCIAL / BUSINESS OFFICE,0,COMMERCIAL / BUSINESS OFFICE,2025,8,1,22
13947632,2025-08-26 22:30:00,BURGLARY,VEHICLE NON-COMMERCIAL,0,VEHICLE NON-COMMERCIAL,2025,8,1,22
13947734,2025-08-26 22:30:00,BURGLARY,STREET,0,STREET,2025,8,1,22
13947873,2025-08-26 22:30:00,CRIMINAL DAMAGE,STREET,0,STREET,2025,8,1,22
13947876,2025-08-26 22:30:00,THEFT,RESIDENCE - YARD (FRONT / BACK),0,RESIDENCE - YARD (FRONT / BACK),2025,8,1,22
13947528,2025-08-26 22:18:00,NARCOTICS,STREET,1,STREET,2025,8,1,22
13947823,2025-08-26 22:15:00,BURGLARY,RESIDENCE - GARAGE,0,OTHER,2025,8,1,22
13947531,2025-08-26 22:15:00,BATTERY,RESIDENCE,0,RESIDENCE,2025,8,1,22
13947532,2025-08-26 22:14:00,WEAPONS VIOLATION,STREET,1,STREET,2025,8,1,22
13947764,2025-08-26 22:10:00,THEFT,STREET,0,STREET,2025,8,1,22
13947504,2025-08-26 22:03:00,BATTERY,POLICE FACILITY / VEHICLE PARKING LOT,1,OTHER,2025,8,1,22
13947608,2025-08-26 22:00:00,BATTERY,APARTMENT,1,APARTMENT,2025,8,1,22
13950574,2025-08-26 22:00:00,THEFT,STREET,0,STREET,2025,8,1,22
13947775,2025-08-26 22:00:00,OTHER OFFENSE,RESIDENCE,0,RESIDENCE,2025,8,1,22
13948082,2025-08-26 22:00:00,BATTERY,OTHER (SPECIFY),0,OTHER (SPECIFY),2025,8,1,22
13947560,2025-08-26 22:00:00,BATTERY,APARTMENT,0,APARTMENT,2025,8,1,22
13948210,2025-08-26 22:00:00,BATTERY,HOSPITAL BUILDING / GROUNDS,0,OTHER,2025,8,1,22
13948549,2025-08-26 22:00:00,CRIMINAL DAMAGE,RESIDENCE,0,RESIDENCE,2025,8,1,22
13951434,2025-08-26 22:00:00,ASSAULT,APARTMENT,1,APARTMENT,2025,8,1,22
13948423,2025-08-26 22:00:00,BATTERY,SIDEWALK,0,SIDEWALK,2025,8,1,22
13947581,2025-08-26 22:00:00,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),0,PARKING LOT / GARAGE (NON RESIDENTIAL),2025,8,1,22
13947687,2025-08-26 22:00:00,THEFT,STREET,0,STREET,2025,8,1,22
13947625,2025-08-26 22:00:00,BATTERY,APARTMENT,0,APARTMENT,2025,8,1,22
13947655,2025-08-26 22:00:00,MOTOR VEHICLE THEFT,STREET,0,STREET,2025,8,1,22
13954732,2025-08-19 22:00:00,CRIMINAL DAMAGE,STREET,0,STREET,2025,8,1,22
13829062,2025-05-07 18:22:00,BATTERY,ALLEY,1,ALLEY,2025,5,2,18
13955422,2025-08-21 11:51:00,DECEPTIVE PRACTICE,BANK,0,OTHER,2025,8,3,11
13955637,2025-03-30 22:00:00,BATTERY,APARTMENT,0,APARTMENT,2025,3,6,22
13955504,2025-08-21 12:00:00,ASSAULT,APARTMENT,0,APARTMENT,2025,8,3,12
13937273,2025-08-17 07:28:00,ROBBERY,SIDEWALK,0,SIDEWALK,2025,8,6,7
13941594,2025-08-21 09:30:00,INTIMIDATION,RESIDENCE,0,RESIDENCE,2025,8,3,9
13946205,2025-08-25 19:00:00,THEFT,STREET,0,STREET,2025,8,0,19
13954902,2025-08-22 07:00:00,BATTERY,APARTMENT,0,APARTMENT,2025,8,4,7
13956684,2025-09-04 12:00:00,DECEPTIVE PRACTICE,APARTMENT,0,APARTMENT,2025,9,3,12
13957896,2025-09-04 18:30:00,THEFT,STREET,0,STREET,2025,9,3,18
13963757,2025-07-28 10:00:00,DECEPTIVE PRACTICE,APARTMENT,0,APARTMENT,2025,7,0,10
13960904,2025-09-04 02:35:00,DECEPTIVE PRACTICE,RESIDENCE,0,RESIDENCE,2025,9,3,2
13957391,2025-09-04 13:30:00,BATTERY,RESTAURANT,0,RESTAURANT,2025,9,3,13
13956322,2025-09-04 09:30:00,DECEPTIVE PRACTICE,APARTMENT,0,APARTMENT,2025,9,3,9
13948975,2025-08-28 00:00:00,ASSAULT,GROCERY FOOD STORE,0,OTHER,2025,8,3,0
13950797,2025-08-28 00:00:00,BURGLARY,APARTMENT,0,APARTMENT,2025,8,3,0
13948584,2025-08-28 00:00:00,CRIMINAL DAMAGE,STREET,0,STREET,2025,8,3,0
13951414,2025-08-28 00:00:00,CRIMINAL DAMAGE,STREET,0,STREET,2025,8,3,0
13949080,2025-08-28 00:00:00,MOTOR VEHICLE THEFT,STREET,0,STREET,2025,8,3,0
13950036,2025-08-28 00:00:00,BATTERY,APARTMENT,0,APARTMENT,2025,8,3,0
13948823,2025-08-28 00:00:00,OTHER OFFENSE,APARTMENT,0,APARTMENT,2025,8,3,0
13952112,2025-08-28 00:00:00,DECEPTIVE PRACTICE,APARTMENT,0,APARTMENT,2025,8,3,0
13949486,2025-08-28 00:00:00,THEFT,VEHICLE NON-COMMERCIAL,0,VEHICLE NON-COMMERCIAL,2025,8,3,0
13954966,2025-08-28 00:00:00,BURGLARY,CHA PARKING LOT / GROUNDS,0,OTHER,2025,8,3,0
13961156,2025-09-01 00:00:00,WEAPONS VIOLATION,STREET,0,STREET,2025,9,0,0
13951079,2025-08-28 00:00:00,ARSON,VEHICLE NON-COMMERCIAL,0,VEHICLE NON-COMMERCIAL,2025,8,3,0
13949190,2025-08-28 00:00:00,OTHER OFFENSE,APARTMENT,0,APARTMENT,2025,8,3,0
13949398,2025-08-28 00:00:00,THEFT,RESIDENCE - YARD (FRONT / BACK),0,RESIDENCE - YARD (FRONT / BACK),2025,8,3,0
13955458,2025-08-28 00:00:00,THEFT,STREET,0,STREET,2025,8,3,0
13948599,2025-08-28 00:00:00,OFFENSE INVOLVING CHILDREN,APARTMENT,0,APARTMENT,2025,8,3,0
13948571,2025-08-27 23:54:00,BATTERY,PARKING LOT / GARAGE (NON RESIDENTIAL),1,PARKING LOT / GARAGE (NON RESIDENTIAL),2025,8,2,23
13948611,2025-08-27 23:52:00,THEFT,GROCERY FOOD STORE,1,OTHER,2025,8,2,23
13948588,2025-08-27 23:49:00,BATTERY,GAS STATION,0,GAS STATION,2025,8,2,23
13948653,2025-08-27 23:45:00,BATTERY,SIDEWALK,0,SIDEWALK,2025,8,2,23
13948605,2025-08-27 23:42:00,BATTERY,STREET,0,STREET,2025,8,2,23
13948604,2025-08-27 23:40:00,BATTERY,STREET,0,STREET,2025,8,2,23
13948635,2025-08-27 23:38:00,CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,0,VEHICLE NON-COMMERCIAL,2025,8,2,23
13948566,2025-08-27 23:36:00,NARCOTICS,SIDEWALK,1,SIDEWALK,2025,8,2,23
13949231,2025-08-27 23:30:00,MOTOR VEHICLE THEFT,STREET,0,STREET,2025,8,2,23
13948593,2025-08-27 23:30:00,ROBBERY,STREET,0,STREET,2025,8,2,23
13948583,2025-08-27 23:30:00,BATTERY,ALLEY,0,ALLEY,2025,8,2,23
13948596,2025-08-27 23:25:00,OTHER OFFENSE,RESIDENCE,0,RESIDENCE,2025,8,2,23
13948592,2025-08-27 23:15:00,MOTOR VEHICLE THEFT,APARTMENT,0,APARTMENT,2025,8,2,23
13949151,2025-08-27 23:14:00,MOTOR VEHICLE THEFT,STREET,0,STREET,2025,8,2,23
13948567,2025-08-27 23:10:00,CRIMINAL DAMAGE,VEHICLE - COMMERCIAL,0,OTHER,2025,8,2,23
13948616,2025-08-27 23:10:00,OTHER OFFENSE,RESIDENCE,0,RESIDENCE,2025,8,2,23
13948719,2025-08-27 23:10:00,MOTOR VEHICLE THEFT,GAS STATION,1,GAS STATION,2025,8,2,23
13948655,2025-08-27 23:09:00,ASSAULT,APARTMENT,0,APARTMENT,2025,8,2,23
13948652,2025-08-27 23:08:00,BATTERY,APARTMENT,0,APARTMENT,2025,8,2,23
13948603,2025-08-27 23:06:00,MOTOR VEHICLE THEFT,STREET,0,STREET,2025,8,2,23
13949049,2025-08-27 23:05:00,CRIMINAL SEXUAL ASSAULT,APARTMENT,0,APARTMENT,2025,8,2,23
13954201,2025-08-27 23:00:00,CRIMINAL DAMAGE,PARKING LOT / GARAGE (NON RESIDENTIAL),0,PARKING LOT / GARAGE (NON RESIDENTIAL),2025,8,2,23
13949583,2025-08-27 23:00:00,THEFT,OTHER RAILROAD PROPERTY / TRAIN DEPOT,0,OTHER,2025,8,2,23
13948636,2025-08-27 23:00:00,THEFT,RESTAURANT,0,RESTAURANT,2025,8,2,23
13948809,2025-08-27 23:00:00,THEFT,ALLEY,0,ALLEY,2025,8,2,23
13949281,2025-08-27 23:00:00,MOTOR VEHICLE THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),0,PARKING LOT / GARAGE (NON RESIDENTIAL),2025,8,2,23
13948633,2025-08-27 22:56:00,BURGLARY,RESIDENCE,1,RESIDENCE,2025,8,2,22
13948564,2025-08-27 22:55:00,ASSAULT,RESIDENCE,0,RESIDENCE,2025,8,2,22
13949204,2025-08-27 22:42:00,INTERFERENCE WITH PUBLIC OFFICER,STREET,1,STREET,2025,8,2,22
13948574,2025-08-27 22:42:00,WEAPONS VIOLATION,CHA APARTMENT,1,OTHER,2025,8,2,22
13948662,2025-08-27 22:40:00,BATTERY,APARTMENT,0,APARTMENT,2025,8,2,22
13949461,2025-08-27 22:33:00,MOTOR VEHICLE THEFT,VEHICLE NON-COMMERCIAL,0,VEHICLE NON-COMMERCIAL,2025,8,2,22
13948625,2025-08-27 22:30:00,ASSAULT,APARTMENT,0,APARTMENT,2025,8,2,22
13948568,2025-08-27 22:30:00,MOTOR VEHICLE THEFT,RESIDENCE,0,RESIDENCE,2025,8,2,22
13948933,2025-08-27 22:30:00,MOTOR VEHICLE THEFT,STREET,0,STREET,2025,8,2,22
13951179,2025-08-30 00:00:00,BURGLARY,SCHOOL - PRIVATE GROUNDS,0,OTHER,2025,8,5,0
13956283,2025-08-30 00:00:00,MOTOR VEHICLE THEFT,STREET,0,STREET,2025,8,5,0
13951473,2025-08-30 00:00:00,BURGLARY,RESIDENCE,0,RESIDENCE,2025,8,5,0
13951264,2025-08-30 00:00:00,CRIMINAL DAMAGE,STREET,0,STREET,2025,8,5,0
13955815,2025-08-30 00:00:00,THEFT,STREET,0,STREET,2025,8,5,0
13951015,2025-08-30 00:00:00,ASSAULT,GROCERY FOOD STORE,0,OTHER,2025,8,5,0
13952002,2025-08-30 00:00:00,THEFT,STREET,0,STREET,2025,8,5,0
13954097,2025-08-30 00:00:00,CRIMINAL DAMAGE,STREET,0,STREET,2025,8,5,0
13951391,2025-08-30 00:00:00,CRIMINAL DAMAGE,RESIDENCE - YARD (FRONT / BACK),0,RESIDENCE - YARD (FRONT / BACK),2025,8,5,0
13952136,2025-08-30 00:00:00,THEFT,STREET,0,STREET,2025,8,5,0
13951427,2025-08-30 00:00:00,ASSAULT,APARTMENT,0,APARTMENT,2025,8,5,0
13951621,2025-08-30 00:00:00,BATTERY,SIDEWALK,0,SIDEWALK,2025,8,5,0
13955151,2025-08-30 00:00:00,MOTOR VEHICLE THEFT,DRIVEWAY - RESIDENTIAL,0,OTHER,2025,8,5,0
13954620,2025-08-30 00:00:00,THEFT,STREET,0,STREET,2025,8,5,0
13950793,2025-08-29 23:59:00,CRIMINAL DAMAGE,STREET,0,STREET,2025,8,4,23
13950655,2025-08-29 23:57:00,NARCOTICS,STREET,1,STREET,2025,8,4,23
13954755,2025-08-29 23:40:00,ROBBERY,STREET,0,STREET,2025,8,4,23
13950692,2025-08-29 23:30:00,BATTERY,CTA PLATFORM,0,OTHER,2025,8,4,23
13950977,2025-08-29 23:30:00,MOTOR VEHICLE THEFT,VEHICLE NON-COMMERCIAL,0,VEHICLE NON-COMMERCIAL,2025,8,4,23
13950908,2025-08-29 23:30:00,THEFT,STREET,0,STREET,2025,8,4,23
13950721,2025-08-29 23:30:00,BURGLARY,APARTMENT,0,APARTMENT,2025,8,4,23
13950936,2025-08-29 23:30:00,THEFT,STREET,0,STREET,2025,8,4,23
13951069,2025-08-29 23:30:00,BURGLARY,RESIDENCE - GARAGE,0,OTHER,2025,8,4,23
13950621,2025-08-29 23:29:00,NARCOTICS,GAS STATION,1,GAS STATION,2025,8,4,23
13950614,2025-08-29 23:28:00,CRIMINAL TRESPASS,GAS STATION,1,GAS STATION,2025,8,4,23
13950772,2025-08-29 23:25:00,MOTOR VEHICLE THEFT,STREET,0,STREET,2025,8,4,23
13950634,2025-08-29 23:20:00,BURGLARY,APARTMENT,0,APARTMENT,2025,8,4,23
13950609,2025-08-29 23:20:00,INTIMIDATION,APARTMENT,0,APARTMENT,2025,8,4,23
13950994,2025-08-29 23:15:00,MOTOR VEHICLE THEFT,STREET,0,STREET,2025,8,4,23
13950960,2025-08-29 23:15:00,MOTOR VEHICLE THEFT,STREET,0,STREET,2025,8,4,23
13950658,2025-08-29 23:15:00,CRIMINAL DAMAGE,STREET,0,STREET,2025,8,4,23
13950737,2025-08-29 23:14:00,OTHER OFFENSE,STREET,0,STREET,2025,8,4,23
13950779,2025-08-29 23:10:00,CRIMINAL SEXUAL ASSAULT,RESIDENCE,0,RESIDENCE,2025,8,4,23
13950647,2025-08-29 23:09:00,BATTERY,SIDEWALK,1,SIDEWALK,2025,8,4,23
13950747,2025-08-29 23:09:00,CRIMINAL TRESPASS,RESIDENCE,0,RESIDENCE,2025,8,4,23
13950755,2025-08-29 23:07:00,CRIMINAL DAMAGE,SIDEWALK,0,SIDEWALK,2025,8,4,23
13952982,2025-08-29 23:01:00,CRIMINAL DAMAGE,STREET,0,STREET,2025,8,4,23
13950637,2025-08-29 23:00:00,THEFT,STREET,0,STREET,2025,8,4,23
13951033,2025-08-29 23:00:00,THEFT,STREET,0,STREET,2025,8,4,23
13951700,2025-08-29 23:00:00,BATTERY,APARTMENT,0,APARTMENT,2025,8,4,23
13950720,2025-08-29 23:00:00,BATTERY,APARTMENT,1,APARTMENT,2025,8,4,23
13950824,2025-08-29 23:00:00,CRIMINAL DAMAGE,STREET,0,STREET,2025,8,4,23
13950985,2025-08-29 23:00:00,BURGLARY,STREET,0,STREET,2025,8,4,23
13950730,2025-08-29 22:51:00,THEFT,SMALL RETAIL STORE,0,SMALL RETAIL STORE,2025,8,4,22
13950625,2025-08-29 22:50:00,BATTERY,RESTAURANT,0,RESTAURANT,2025,8,4,22
13950707,2025-08-29 22:50:00,BATTERY,APARTMENT,0,APARTMENT,2025,8,4,22
13951977,2025-08-29 22:47:00,MOTOR VEHICLE THEFT,STREET,0,STREET,2025,8,4,22
13950703,2025-08-29 22:32:00,BATTERY,STREET,0,STREET,2025,8,4,22
13953803,2025-08-29 22:30:00,OTHER OFFENSE,STREET,0,STREET,2025,8,4,22
13953238,2025-08-29 22:30:00,BATTERY,APARTMENT,0,APARTMENT,2025,8,4,22
13953163,2025-09-01 00:00:00,THEFT,STREET,0,STREET,2025,9,0,0
13958712,2025-09-01 00:00:00,DECEPTIVE PRACTICE,APARTMENT,0,APARTMENT,2025,9,0,0
13952602,2025-09-01 00:00:00,BATTERY,STREET,0,STREET,2025,9,0,0
13956137,2025-09-01 00:00:00,THEFT,RESIDENCE,0,RESIDENCE,2025,9,0,0
13954673,2025-09-01 00:00:00,THEFT,STREET,0,STREET,2025,9,0,0
13952953,2025-09-01 00:00:00,BATTERY,VEHICLE NON-COMMERCIAL,0,VEHICLE NON-COMMERCIAL,2025,9,0,0
13953074,2025-09-01 00:00:00,THEFT,APARTMENT,0,APARTMENT,2025,9,0,0
13956679,2025-09-01 00:00:00,BATTERY,APARTMENT,0,APARTMENT,2025,9,0,0
13953419,2025-09-01 00:00:00,WEAPONS VIOLATION,STREET,1,STREET,2025,9,0,0
13961378,2025-05-12 00:00:00,THEFT,HOSPITAL BUILDING / GROUNDS,0,OTHER,2025,5,0,0
13952765,2025-09-01 00:00:00,BATTERY,APARTMENT,0,APARTMENT,2025,9,0,0
13955454,2025-09-01 00:00:00,THEFT,STREET,0,STREET,2025,9,0,0
13955807,2025-09-01 00:00:00,THEFT,STREET,0,STREET,2025,9,0,0
13954321,2025-09-01 00:00:00,OTHER OFFENSE,SCHOOL - PUBLIC GROUNDS,0,OTHER,2025,9,0,0
13958017,2025-09-01 00:00:00,CRIMINAL SEXUAL ASSAULT,RESIDENCE,0,RESIDENCE,2025,9,0,0
13952611,2025-09-01 00:00:00,CRIMINAL DAMAGE,RESIDENCE - PORCH / HALLWAY,0,OTHER,2025,9,0,0
13952640,2025-09-01 00:00:00,OTHER OFFENSE,APARTMENT,0,APARTMENT,2025,9,0,0
13953044,2025-09-01 00:00:00,CRIMINAL DAMAGE,STREET,0,STREET,2025,9,0,0
13952805,2025-09-01 00:00:00,MOTOR VEHICLE THEFT,STREET,0,STREET,2025,9,0,0
13954042,2025-09-01 00:00:00,MOTOR VEHICLE THEFT,APARTMENT,0,APARTMENT,2025,9,0,0
13953017,2025-09-01 00:00:00,MOTOR VEHICLE THEFT,STREET,0,STREET,2025,9,0,0
13952863,2025-09-01 00:00:00,DECEPTIVE PRACTICE,CONVENIENCE STORE,0,OTHER,2025,9,0,0
13952646,2025-09-01 00:00:00,INTERFERENCE WITH PUBLIC OFFICER,PARK PROPERTY,1,PARK PROPERTY,2025,9,0,0
13954642,2025-09-01 00:00:00,CRIMINAL DAMAGE,STREET,0,STREET,2025,9,0,0
13958958,2025-09-01 00:00:00,DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,1,COMMERCIAL / BUSINESS OFFICE,2025,9,0,0
13954999,2025-09-01 00:00:00,THEFT,STREET,0,STREET,2025,9,0,0
13954431,2025-09-01 00:00:00,OTHER OFFENSE,APARTMENT,0,APARTMENT,2025,9,0,0
13957727,2025-09-01 00:00:00,DECEPTIVE PRACTICE,OTHER (SPECIFY),0,OTHER (SPECIFY),2025,9,0,0
13955714,2025-09-01 00:00:00,DECEPTIVE PRACTICE,APARTMENT,0,APARTMENT,2025,9,0,0
13953473,2025-09-01 00:00:00,THEFT,RESIDENCE,0,RESIDENCE,2025,9,0,0
13961185,2025-07-30 14:00:00,MOTOR VEHICLE THEFT,COMMERCIAL / BUSINESS OFFICE,0,COMMERCIAL / BUSINESS OFFICE,2025,7,2,14
13952689,2025-08-31 23:56:00,WEAPONS VIOLATION,SIDEWALK,1,SIDEWALK,2025,8,6,23
13952574,2025-08-31 23:55:00,BATTERY,VEHICLE NON-COMMERCIAL,0,VEHICLE NON-COMMERCIAL,2025,8,6,23
13952721,2025-08-31 23:54:00,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),0,PARKING LOT / GARAGE (NON RESIDENTIAL),2025,8,6,23
