primary_type,support,precision,recall,f1
NARCOTICS,58,0.9137931034482759,1.0,0.954954954954955
WEAPONS VIOLATION,53,0.7169811320754716,1.0,0.8351648351648352
ROBBERY,56,0.625,0.7142857142857143,0.6666666666666666
OTHER OFFENSE,134,0.4358974358974359,0.68,0.53125
MOTOR VEHICLE THEFT,160,1.0,0.3333333333333333,0.5
CRIMINAL TRESPASS,43,0.3,1.0,0.46153846153846156
BURGLARY,96,0.5,0.3333333333333333,0.4
DECEPTIVE PRACTICE,136,1.0,0.25,0.4
THEFT,473,0.375,0.375,0.375
BATTERY,379,0.4166666666666667,0.3333333333333333,0.37037037037037035
CRIMINAL DAMAGE,232,1.0,0.1111111111111111,0.2
ASSAULT,187,0.3333333333333333,0.045454545454545456,0.08
