primary_type,support,precision,recall,f1
NARCOTICS,58,0.9137931034482759,1.0,0.954954954954955
WEAPONS VIOLATION,53,0.7307692307692307,1.0,0.8444444444444444
ROBBERY,56,0.8,0.5714285714285714,0.6666666666666666
OTHER OFFENSE,134,0.5151515151515151,0.68,0.5862068965517241
CRIMINAL TRESPASS,43,0.39285714285714285,0.9166666666666666,0.55
BURGLARY,96,1.0,0.3333333333333333,0.5
DECEPTIVE PRACTICE,136,1.0,0.25,0.4
BATTERY,379,0.6071428571428571,0.2833333333333333,0.38636363636363635
THEFT,473,0.41935483870967744,0.325,0.36619718309859156
CRIMINAL DAMAGE,232,1.0,0.1111111111111111,0.2
ASSAULT,187,0.4,0.09090909090909091,0.14814814814814814
MOTOR VEHICLE THEFT,160,0.0,0.0,0.0
