primary_type,support,precision,recall,f1
NARCOTICS,58,0.9137931034482759,1.0,0.954954954954955
WEAPONS VIOLATION,53,0.7307692307692307,1.0,0.8444444444444444
ROBBERY,56,0.7142857142857143,0.7142857142857143,0.7142857142857143
CRIMINAL TRESPASS,43,0.5882352941176471,0.8333333333333334,0.6896551724137931
DECEPTIVE PRACTICE,136,1.0,0.25,0.4
BATTERY,379,0.7272727272727273,0.26666666666666666,0.3902439024390244
OTHER OFFENSE,134,0.5454545454545454,0.24,0.3333333333333333
THEFT,473,0.375,0.15,0.21428571428571427
CRIMINAL DAMAGE,232,1.0,0.1111111111111111,0.2
ASSAULT,187,0.5,0.045454545454545456,0.08333333333333333
BURGLARY,96,0.0,0.0,0.0
MOTOR VEHICLE THEFT,160,0.0,0.0,0.0
